Type,Qwen/Qwen3-VL-8B-Instruct,mistralai/Pixtral-Large-Instruct-2411,google/gemma-3-12b-it,Qwen/Qwen3-VL-32B-Instruct,google/gemma-3-27b-it,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,mistralai/Pixtral-12B-2409
Frais d’entrée en %,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Frais d’entrée en % (Part I),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais d’exploitation immobilière prélevés par le fonds (Part P),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fréquence de rachat,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gestion de trésorerie à court terme,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Gestionnaire,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ISIN Part I,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ISIN Part M,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ISRR,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0
Identifiant utilisé en Allemagne pour simplifier la référence aux valeurs mobilières,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Indice de performance,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Initiateur du PRIIP,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Instruments de marché financier,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Instruments dérivés,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KIID,0.7142857142857143,0.2857142857142857,0.14285714285714285,1.0,0.7142857142857143,0.42857142857142855,0.2857142857142857
Lieu d'agrément,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lieu d'agrément de la société de gestion,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lieu d'agrément du Fonds,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lieu d'agrément du PRIIP,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lieu d'investissement du Fonds,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Limitation réglementaire,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Législation Financière Internationale,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mail,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mail de la société de gestion,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Montant minimum de souscription initiale - Part C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montant minimum de souscription initiale - Part I,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Montant minimum de souscription initiale - Part S,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Montant minimum de souscription ultérieure - Part C,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Montant minimum de souscription ultérieure - Part I,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Montant minimum de souscription ultérieure - Part S,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Moody’s,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Méthode de calcul du risque,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Méthode de comptabilisation des intérêts,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Numéro d'agrément de la société de gestion,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Objectif d'investissement,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.6666666666666666
Objectif de gestion lié à l’indice,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0
Ordres de souscription,1.0,1.0,1.0,1.0,1.0,1.0,1.0
